SubID,StudyTrial,TestTrial,Run,Valence,SoundID,ObjID,SceneID,ColStudy,SceStudy,Ques1,Ques2,ColTest,SceneTest,SoundResponse,SoundRT,SoundCorrect,SoundConfidence,ColResp,ColRT,SceneResp,SceneRT,ColError,SceError,ColAbsError,SceAbsError,onsetEncoding,TotalEncodingTrial
24,50,54,3,Neutral,7,124,4,219,207,2,1,33,276,3,0.920587812,1,0,243,3.658133024,198,3.528984015,24,-9,24,9,8.00424056,2402
24,51,70,3,Negative,5,82,6,297,93,1,2,60,198,2,1.001303144,1,0,243,4.629619003,66,5.943053711,-54,-27,54,27,15.01860491,2403
24,52,55,3,Neutral,8,81,1,219,267,2,1,15,36,4,1.259400953,1,1,222,4.145496429,267,2.789575848,3,0,3,0,22.01630756,2404
24,53,60,3,Neutral,8,59,6,171,324,2,1,159,192,2,0.31000132,0,0,108,3.669054655,327,2.959672225,-63,3,63,3,29.0139905,2405
24,54,49,3,Negative,6,20,3,291,90,2,1,114,183,2,0.503751357,1,0,300,3.436465475,90,3.640047564,9,0,9,0,36.01170414,2406
24,55,72,3,Neutral,11,94,4,279,327,1,2,177,138,2,0.923404899,0,0,303,3.828600812,327,3.18526193,24,0,24,0,43.00940295,2407
24,56,67,3,Negative,1,128,4,342,87,2,1,255,360,2,0.314239699,1,0,6,4.432441749,90,3.351847957,24,3,24,3,50.00711592,2408
24,57,68,3,Negative,3,75,5,117,315,1,2,174,135,2,1.068086642,1,0,96,-1,315,2.241250467,-21,0,21,0,57.00483634,2409
24,58,65,3,Negative,4,98,2,198,261,1,2,189,78,1,0.413768694,1,1,195,4.067471777,261,3.55908138,-3,0,3,0,64.01920619,2410
24,59,61,3,Neutral,12,49,3,237,282,2,1,237,102,4,0.484976952,1,1,300,2.838114867,282,3.980437137,63,0,63,0,71.01690201,2411
24,60,57,3,Neutral,9,111,3,3,144,1,2,21,303,3,0.323126085,1,0,351,4.216549651,144,2.019410107,-12,0,12,0,78.01460818,2412
24,61,58,3,Negative,1,22,5,213,36,2,1,213,330,1,1.047607106,1,1,234,2.494302697,39,3.615415417,21,3,21,3,85.01228444,2413
24,62,59,3,Neutral,12,33,5,33,108,2,1,147,15,3,0.839754037,1,0,24,5.141786501,108,5.580113226,-9,0,9,0,92.00998696,2414
24,63,62,3,Negative,2,76,6,84,159,2,1,351,150,2,1.969288759,1,0,48,5.880984854,171,5.625364151,-36,12,36,12,99.00850899,2415
24,64,66,3,Negative,4,115,4,114,279,1,2,192,306,1,0.326385139,1,1,150,5.017278706,282,4.707008639,36,3,36,3,106.0054143,2416
24,65,56,3,Neutral,11,133,2,348,24,1,2,39,213,3,0.885869022,1,0,342,3.639693422,21,4.131681048,-6,-3,6,3,113.0031359,2417
24,66,52,3,Neutral,7,117,2,138,138,2,1,237,195,3,0.287783934,1,0,105,3.401870048,132,3.54291215,-33,-6,33,6,120.0174656,2418
24,67,50,3,Neutral,9,2,5,288,171,1,2,126,348,3,1.856559871,1,0,168,5.51961532,174,2.01175247,-120,3,120,3,127.0152126,2419
24,68,71,3,Neutral,10,28,1,156,186,1,2,279,150,3,0.765540467,1,0,117,3.332895965,189,1.159515151,-39,3,39,3,134.0128853,2420
24,69,64,3,Negative,5,34,1,300,138,1,2,288,156,3,0.465671257,0,0,321,4.757978663,141,4.814414295,21,3,21,3,141.0116577,2421
24,70,69,3,Neutral,10,58,6,6,249,1,2,273,243,4,1.000840879,1,1,3,2.473793975,252,2.44170519,-3,3,3,3,148.0082872,2422
24,71,51,3,Negative,6,37,1,15,63,2,1,12,84,1,0.543147195,1,1,39,-1,66,2.140839667,24,3,24,3,155.0060155,2423
24,72,63,3,Negative,2,70,2,39,312,2,1,288,81,1,0.392563745,1,1,42,-1,315,3.818097749,3,3,3,3,162.0037619,2424
24,73,89,4,Neutral,7,119,3,216,279,1,2,117,120,-1,-1,0,-1,222,2.357183469,282,1.67292615,6,3,6,3,1.006582928,2425
24,74,83,4,Negative,4,15,6,42,36,2,1,330,342,2,0.32598908,1,0,42,3.813348914,60,-1,0,24,0,24,8.00429601,2426
24,75,94,4,Neutral,11,139,5,96,258,2,1,129,168,3,0.899960669,1,0,162,2.25342468,267,4.197341584,66,9,66,9,15.01863402,2427
24,76,74,4,Negative,4,24,5,312,327,2,1,63,129,1,0.516055833,1,1,288,2.54504251,327,2.723453303,-24,0,24,0,22.01632276,2428
24,77,80,4,Neutral,10,97,2,333,132,2,1,135,330,3,0.414063544,1,0,345,2.101697692,138,2.800852283,12,6,12,6,29.01406778,2429
24,78,90,4,Negative,2,7,5,36,87,1,2,15,324,2,0.948232725,1,0,54,5.255657259,90,4.395093725,18,3,18,3,36.01176004,2430
