"ROI","Phase","Feature","Beta","SE","T","Pvalue","Pfdr"
"LH_ContA_PFCd_1","Offset","MemoryDetail",0.0249682479025062,0.0583528614759324,0.427883865006421,0.672347830193128,0.86444735571253
"LH_ContA_PFCl_1","Offset","MemoryDetail",0.0869486147606487,0.0624357166690447,1.39261018211003,0.175054096649776,0.388201061338489
"LH_ContA_PFCl_2","Offset","MemoryDetail",0.0639988878440474,0.0872218824846376,0.733748068958722,0.469524800636995,0.700172504381024
"LH_ContA_PFCl_3","Offset","MemoryDetail",0.160286823005366,0.0735819252015135,2.17834505643064,0.0381611166632888,0.14284161099653
"LH_ContA_PFCl_4","Offset","MemoryDetail",0.0235760401968571,0.105725167544188,0.222993642332168,0.825296495221382,0.949868520477465
"LH_ContA_Temp_1","Offset","MemoryDetail",0.314070471504408,0.0877683205882881,3.57840356747487,0.00124556316574452,0.0177201859978068
"LH_ContB_IPL_1","Offset","MemoryDetail",0.10393692757093,0.0837350649473903,1.24125929365711,0.214594387458043,0.453904294059886
"LH_ContB_PFCl_1","Offset","MemoryDetail",-0.0548201123174628,0.0682240258985997,-0.803530890993462,0.4299467840201,0.676992040306599
"LH_ContB_PFClv_1","Offset","MemoryDetail",0.0466189056393802,0.0986325526624468,0.472652328069877,0.640066972025121,0.845136972771034
"LH_ContB_PFClv_2","Offset","MemoryDetail",-0.125753853518113,0.0736351985137257,-1.70779540296442,0.101194548614524,0.278968755640039
"LH_ContB_Temp_1","Offset","MemoryDetail",0.121256036012508,0.073428194988007,1.65135525981964,0.110590627184452,0.294908339158539
"LH_ContC_Cingp_1","Offset","MemoryDetail",-0.0463731261992626,0.119946074510358,-0.386616455674487,0.70317298925897,0.882752552669722
"LH_ContC_pCun_1","Offset","MemoryDetail",-0.0573587113485888,0.0978544181366,-0.586163736301808,0.563103006522061,0.781449070275514
"LH_ContC_pCun_2","Offset","MemoryDetail",0.0096308673938223,0.0663230216906789,0.145211529093763,0.885556914960563,0.950454975883004
"LH_DefaultA_IPL_1","Offset","MemoryDetail",-0.0620230877842569,0.0776122965467216,-0.799139962917085,0.424262823110553,0.676992040306599
"LH_DefaultA_PCC_1","Offset","MemoryDetail",-0.14388450709029,0.0700836865941917,-2.05303850414477,0.0510982637205214,0.176110488843568
"LH_DefaultA_PCC_2","Offset","MemoryDetail",-0.127813891534819,0.0617193865560639,-2.07088726357832,0.0485617083020833,0.172288495541304
"LH_DefaultA_PCC_3","Offset","MemoryDetail",-0.103023167451109,0.0608459387782708,-1.69318067104752,0.0905083460031461,0.261168228836379
"LH_DefaultA_PFCd_1","Offset","MemoryDetail",-0.0891024667382274,0.0723390883881999,-1.23173333703168,0.231442639529859,0.483412807156715
"LH_DefaultA_PFCm_1","Offset","MemoryDetail",-0.0970932155361242,0.042874676572773,-2.26458187670113,0.0316441628808621,0.13041230763022
"LH_DefaultA_PFCm_2","Offset","MemoryDetail",-0.166181056822265,0.0595728985706866,-2.78954123115366,0.00530580957499275,0.0379360076085157
"LH_DefaultA_PFCm_3","Offset","MemoryDetail",-0.203245225519425,0.065806278774755,-3.08853849972437,0.00456618002412579,0.0378305395032481
"LH_DefaultB_IPL_1","Offset","MemoryDetail",0.076583146052392,0.0685581128234547,1.11705446516013,0.274826769497349,0.516724985967365
"LH_DefaultB_PFCd_1","Offset","MemoryDetail",-0.235610685373199,0.079962970510166,-2.94649740836285,0.0032343935255811,0.0321861599618802
"LH_DefaultB_PFCd_2","Offset","MemoryDetail",-0.135117010632924,0.0674243894281348,-2.00397826037327,0.0571160259697534,0.191010972095569
"LH_DefaultB_PFCd_3","Offset","MemoryDetail",-0.0961311739765534,0.0709526193364913,-1.35486434293079,0.17555007136273,0.388201061338489
"LH_DefaultB_PFCd_4","Offset","MemoryDetail",0.0168536782606679,0.092164377411948,0.182865427336821,0.856428417392945,0.950454975883004
"LH_DefaultB_PFCv_1","Offset","MemoryDetail",-0.0719189736837609,0.0446638480929618,-1.61022788574042,0.124768618967544,0.317472877801702
"LH_DefaultB_PFCv_2","Offset","MemoryDetail",0.0246136165377129,0.0443984500423727,0.554380085661151,0.584329743261496,0.805427483955035
"LH_DefaultB_PFCv_3","Offset","MemoryDetail",0.0845593864627021,0.0920391093010634,0.918733211401526,0.3678294984702,0.6126545316951
"LH_DefaultB_PFCv_4","Offset","MemoryDetail",0.0532969824356347,0.065095533691039,0.818750218541822,0.421193635644386,0.676992040306599
"LH_DefaultB_Temp_1","Offset","MemoryDetail",0.0165042627841362,0.0334395951411058,0.493554503710132,0.625641862135021,0.839677236023318
"LH_DefaultB_Temp_2","Offset","MemoryDetail",-0.0316690350882508,0.0296595494400426,-1.06775172536826,0.285704320456366,0.532271062768024
"LH_DefaultB_Temp_3","Offset","MemoryDetail",-0.0180222115058844,0.0379088751865909,-0.475408764232056,0.638411900716255,0.845136972771034
"LH_DefaultB_Temp_4","Offset","MemoryDetail",0.122641793828603,0.0883704141396368,1.38781508520276,0.176974013257252,0.388201061338489
"LH_DefaultC_IPL_1","Offset","MemoryDetail",0.207849182713731,0.126254768952262,1.64626797418101,0.110297940719418,0.294908339158539
"LH_DefaultC_PHC_1","Offset","MemoryDetail",0.0508094219777326,0.0554813940002738,0.915792093787006,0.367743603561604,0.6126545316951
"LH_DefaultC_Rsp_1","Offset","MemoryDetail",-0.0094175121147325,0.0792216732707389,-0.11887545069325,0.906288431119728,0.960159327597552
"LH_DorsAttnA_SPL_1","Offset","MemoryDetail",0.125262911013916,0.128742090342228,0.972975587711347,0.338861187004108,0.588320699139047
"LH_DorsAttnA_SPL_2","Offset","MemoryDetail",0.113611069087004,0.1299483808389,0.874278450824641,0.389768849921379,0.641232624064204
"LH_DorsAttnA_SPL_3","Offset","MemoryDetail",-0.147936518309898,0.0988503202785608,-1.49657095589586,0.145495826161657,0.348922389908219
"LH_DorsAttnA_TempOcc_1","Offset","MemoryDetail",0.102681094130546,0.064253151254044,1.59807094479406,0.122456209693109,0.316216035156889
"LH_DorsAttnA_TempOcc_2","Offset","MemoryDetail",0.169019545768977,0.0948548626645177,1.78187539385055,0.087221763206256,0.256017837324838
"LH_DorsAttnA_TempOcc_3","Offset","MemoryDetail",0.0736909908880153,0.0640099835719849,1.15124214654958,0.259736189897812,0.507044810900991
"LH_DorsAttnB_FEF_1","Offset","MemoryDetail",0.00254355194518991,0.0630720039207679,0.0403277490340273,0.968155279929236,0.970534039830782
"LH_DorsAttnB_PostC_1","Offset","MemoryDetail",-0.0130728036240312,0.0841423076907169,-0.155365403954489,0.877678409204953,0.950454975883004
"LH_DorsAttnB_PostC_2","Offset","MemoryDetail",0.00453304418851882,0.0850013492502185,0.0533290851086951,0.957861850621402,0.964957123588968
"LH_DorsAttnB_PostC_3","Offset","MemoryDetail",-0.0462080229636533,0.0526119662719917,-0.878279719194841,0.38836866452479,0.641232624064204
"LH_DorsAttnB_PostC_4","Offset","MemoryDetail",0.018520000638938,0.0483703241925981,0.38287939864112,0.701832435545962,0.882752552669722
"LH_HIPP","Offset","MemoryDetail",0.135639602495004,0.041750084383566,3.24884618792281,0.00356121575779874,0.0343411248242694
"LH_Limbic_OFC_1","Offset","MemoryDetail",0.0104903340972258,0.0401120346026141,0.261525853803041,0.79585753707171,0.938467847182825
"LH_Limbic_OFC_2","Offset","MemoryDetail",0.0109581174432109,0.0261220484527179,0.419496865379664,0.674877721044653,0.86444735571253
"LH_Limbic_TempPole_1","Offset","MemoryDetail",0.0839192063205744,0.0299613127593602,2.8009188714322,0.00957033972015781,0.0557814086546341
"LH_Limbic_TempPole_2","Offset","MemoryDetail",0.0880573065456112,0.0381121159641071,2.31048065209869,0.0316339290430443,0.13041230763022
"LH_Limbic_TempPole_3","Offset","MemoryDetail",0.0679137472361742,0.0293233635600263,2.31602855167524,0.02061284929588,0.0977004183646686
"LH_Limbic_TempPole_4","Offset","MemoryDetail",0.0599854940884881,0.073960892823273,0.811043401434071,0.425562261805455,0.676992040306599
"LH_SalVentAttnA_FrMed_1","Offset","MemoryDetail",0.015848048822606,0.0524604734901762,0.302095039717353,0.765275925355488,0.91563805731683
"LH_SalVentAttnA_FrMed_2","Offset","MemoryDetail",0.0348342750586023,0.0726378040813036,0.479561235353594,0.635953832973386,0.845136972771034
"LH_SalVentAttnA_Ins_1","Offset","MemoryDetail",0.0555776778906588,0.0370494611936328,1.50009409314191,0.145568520280657,0.348922389908219
"LH_SalVentAttnA_Ins_2","Offset","MemoryDetail",0.112711002044075,0.0505957588636093,2.22767687599883,0.0354822837043694,0.136112950793315
"LH_SalVentAttnA_Ins_3","Offset","MemoryDetail",0.180953907763942,0.0884189980014505,2.04655008373849,0.0513655592460405,0.176110488843568
"LH_SalVentAttnA_ParMed_1","Offset","MemoryDetail",-0.00335885980424725,0.049325750211197,-0.0680954631174527,0.946308158557093,0.964957123588968
"LH_SalVentAttnA_ParOper_1","Offset","MemoryDetail",0.0647879558447915,0.0562209217852127,1.15238160079105,0.249240242451892,0.499096736737514
"LH_SalVentAttnB_IPL_1","Offset","MemoryDetail",0.227174223755966,0.0690092958029742,3.29193655887408,0.00100491613814874,0.0167573563413302
"LH_SalVentAttnB_PFCl_1","Offset","MemoryDetail",-0.00498982285048431,0.0630145265160422,-0.0791852787978023,0.937495250729793,0.964957123588968
"LH_SalVentAttnB_PFCmp_1","Offset","MemoryDetail",-0.072773398311798,0.0669250501810041,-1.08738653336795,0.288408228100098,0.534866168476545
"LH_SalVentAttnB_PFCv_1","Offset","MemoryDetail",0.0429528246815451,0.0414063800054926,1.03734798057322,0.299643219697752,0.548226159805753
"LH_SomMotA_1","Offset","MemoryDetail",-0.0066722846517497,0.0488789227694999,-0.136506376853157,0.892706542205107,0.950454975883004
"LH_SomMotA_2","Offset","MemoryDetail",0.0934382277577041,0.062678140597092,1.49076259869201,0.148606959211133,0.352509531151991
"LH_SomMotA_3","Offset","MemoryDetail",0.0148450095946882,0.0980320591833751,0.151430151711081,0.880929472364395,0.950454975883004
"LH_SomMotA_4","Offset","MemoryDetail",0.0380571063613438,0.0563607394103987,0.675241431526042,0.505520324125345,0.733993922573454
"LH_SomMotA_5","Offset","MemoryDetail",0.0824090436533117,0.0672824878813402,1.22482158802821,0.231883842810127,0.483412807156715
"LH_SomMotA_6","Offset","MemoryDetail",0.0268832765154593,0.0484094847988611,0.555330770966846,0.583944021417111,0.805427483955035
"LH_SomMotA_7","Offset","MemoryDetail",0.0965120873457219,0.0607230905084137,1.58938035824032,0.126480900254425,0.318544489529664
"LH_SomMotA_8","Offset","MemoryDetail",0.0128688982182587,0.0961152654856498,0.133890263458515,0.894545859654592,0.950454975883004
"LH_SomMotB_Aud_1","Offset","MemoryDetail",0.0847296021815449,0.0554992085033773,1.52668127107414,0.140234909535118,0.340570494585286
"LH_SomMotB_Aud_2","Offset","MemoryDetail",-0.0312954529128588,0.080110817894569,-0.390652020979809,0.699562527761768,0.882752552669722
"LH_SomMotB_Aud_3","Offset","MemoryDetail",0.0672518098750665,0.058435257168719,1.15087728083221,0.261574521512195,0.508201927509408
"LH_SomMotB_Aud_4","Offset","MemoryDetail",0.0949732041932255,0.066871475993186,1.4202349025899,0.168057288992936,0.3878493305707
"LH_SomMotB_Aud_5","Offset","MemoryDetail",0.190847007626971,0.0762892114027191,2.50162511995986,0.0208331774454073,0.0977004183646686
"LH_SomMotB_Aud_6","Offset","MemoryDetail",0.107516267876865,0.0825385770195621,1.30261838475096,0.206786922480577,0.44404770722145
"LH_SomMotB_Aud_7","Offset","MemoryDetail",-0.0269914222729519,0.114618519059275,-0.23548919052944,0.815591531548076,0.948038019577251
"LH_SomMotB_Aud_8","Offset","MemoryDetail",0.0156658305806287,0.0747850873153772,0.209478000802006,0.835791173655417,0.949868520477465
"LH_TempPar_1","Offset","MemoryDetail",0.153232485867261,0.0633646837964909,2.41826324517613,0.0235373817066242,0.103260771358093
"LH_TempPar_2","Offset","MemoryDetail",0.202519435176415,0.103434979882831,1.95793952303008,0.0626272843384481,0.205618656482482
"LH_VisCent_ExStr_1","Offset","MemoryDetail",0.0289050202899104,0.0826369797732097,0.349783116096907,0.729011418374325,0.894408640166131
"LH_VisCent_ExStr_2","Offset","MemoryDetail",0.0500354123796549,0.135265505102974,0.36990519010419,0.714421937247478,0.893724935555407
"LH_VisCent_ExStr_3","Offset","MemoryDetail",0.0118334720090679,0.135716241470315,0.0871927477571373,0.931175333121505,0.964957123588968
"LH_VisCent_ExStr_4","Offset","MemoryDetail",0.112057443006714,0.145395019954551,0.770710324478389,0.447672010551609,0.690863852150817
"LH_VisCent_ExStr_5","Offset","MemoryDetail",0.146010025866505,0.1021486336075,1.42938794881525,0.163992248534849,0.384533548288611
"LH_VisCent_ExStr_6","Offset","MemoryDetail",0.00456009858530533,0.102367390970357,0.0445463984387943,0.964784230119466,0.969536861794932
"LH_VisPeri_ExStrSup_1","Offset","MemoryDetail",0.00367550430697834,0.0643502655884536,0.0571171583111203,0.954913564076318,0.964957123588968
"LH_VisPeri_ExStrSup_2","Offset","MemoryDetail",-0.0457124560905102,0.060761316302573,-0.752328271870805,0.458343461070732,0.697776612376338
"LH_VisPeri_ExStrSup_3","Offset","MemoryDetail",0.132885012421814,0.0846744936933309,1.56936294066415,0.129146042754386,0.323261260391346
